skill,year,demand
java,2011,862
java,2012,2349
ios,2016,4498
objective-c,2016,3202
android,2016,8601
arduino / raspberry pi,2016,3797
angularjs,2016,8823
c++,2016,9589
c#,2016,15283
cassandra,2016,663
coffeescript,2016,1662
cordova,2016,1651
clojure,2016,556
cloud (aws,2016,4629
gae,2016,4629
microsoft azure,2016,4629
etc.),2016,4629
dart,2016,222
f#,2016,484
go,2016,1547
hadoop,2016,1012
haskell,2016,813
java,2016,17942
javascript,2016,27385
lamp,2016,4821
matlab,2016,1602
mongodb,2016,4780
node.js,2016,8509
perl,2016,1624
php,2016,12780
python,2016,12282
reactjs,2016,2541
redis,2016,2862
ruby,2016,4383
rust,2016,436
salesforce,2016,665
scala,2016,1602
sharepoint,2016,853
spark,2016,707
sql,2016,21976
microsoft sql server,2016,9306
swift,2016,2746
visual basic,2016,3312
windows phone,2016,1123
wordpress,2016,4496
swift,2017,2368
javascript,2017,22875
python,2017,11704
ruby,2017,3324
sql,2017,18754
java,2017,14524
php,2017,10290
matlab,2017,1569
rust,2017,416
coffeescript,2017,1192
clojure,2017,391
elixir,2017,380
erlang,2017,281
haskell,2017,649
c#,2017,12476
objective-c,2017,2349
c++,2017,8155
assembly,2017,1823
vb.net,2017,2273
perl,2017,1585
scala,2017,1309
f#,2017,457
typescript,2017,3488
lua,2017,1039
vba,2017,1574
groovy,2017,1193
go,2017,1557
smalltalk,2017,327
visual basic 6,2017,1071
common lisp,2017,273
dart,2017,145
julia,2017,138
hack,2017,107
.net core,2017,6763
react,2017,3953
angularjs,2017,8962
node.js,2017,9522
cordova,2017,2232
hadoop,2017,1148
spark,2017,953
firebase,2017,1979
xamarin,2017,1675
mysql,2017,16375
sqlite,2017,7838
mongodb,2017,6192
redis,2017,4143
microsoft sql server,2017,11358
postgresql,2017,7815
oracle,2017,4874
cassandra,2017,906
ios,2017,4782
amazon web services (aws),2017,8183
windows desktop,2017,11949
linux desktop,2017,9593
mac os,2017,5363
android,2017,8211
microsoft azure,2017,3327
windows phone,2017,1124
raspberry pi,2017,4676
wordpress,2017,4537
arduino,2017,2986
serverless,2017,606
sharepoint,2017,1083
mainframe,2017,404
salesforce,2017,762
javascript,2018,54686
python,2018,30359
html,2018,53628
css,2018,50979
bash/shell,2018,31172
c#,2018,26954
sql,2018,49873
typescript,2018,13626
c++,2018,19872
java,2018,35521
matlab,2018,4564
assembly,2018,5760
coffeescript,2018,2603
erlang,2018,886
go,2018,5532
lua,2018,2733
ruby,2018,7911
php,2018,24071
vb.net,2018,5254
swift,2018,6310
groovy,2018,3373
kotlin,2018,3508
objective-c,2018,5510
scala,2018,3420
f#,2018,1115
haskell,2018,1961
rust,2018,1857
julia,2018,430
vba,2018,3810
perl,2018,3280
cobol,2018,590
visual basic 6,2018,3087
delphi/object pascal,2018,2025
hack,2018,254
clojure,2018,1032
ocaml,2018,470
redis,2018,11944
microsoft sql server,2018,27293
mysql,2018,38909
postgresql,2018,21776
amazon rds/aurora,2018,3388
microsoft azure (tables,2018,5203
cosmosdb,2018,5203
etc),2018,5203
memcached,2018,3615
oracle,2018,7376
ibm db2,2018,1677
mongodb,2018,17183
google cloud storage,2018,3634
amazon dynamodb,2018,3454
apache hbase,2018,1107
apache hive,2018,1438
amazon redshift,2018,1464
elasticsearch,2018,9312
mariadb,2018,8853
sqlite,2018,13036
google bigquery,2018,1384
cassandra,2018,2444
neo4j,2018,1572
aws,2018,15927
microsoft azure,2018,7267
linux,2018,31859
firebase,2018,9575
arduino,2018,7006
windows desktop or server,2018,23393
heroku,2018,6913
amazon echo,2018,1938
ios,2018,10201
mac os,2018,11822
serverless,2018,2987
android,2018,19157
wordpress,2018,10486
drupal,2018,2010
google cloud platform/app engine,2018,5302
raspberry pi,2018,10509
sharepoint,2018,1766
ibm cloud or watson,2018,950
mainframe,2018,533
apple watch or apple tv,2018,1266
esp8266,2018,1466
gaming console,2018,850
predix,2018,110
windows phone,2018,1800
salesforce,2018,1457
google home,2018,892
django,2018,6723
react,2018,14337
angular,2018,19023
node.js,2018,25598
hadoop,2018,2447
spark,2018,2475
spring,2018,9079
.net core,2018,14026
cordova,2018,4369
xamarin,2018,3796
tensorflow,2018,4026
pytorch,2018,868
html/css,2019,55466
java,2019,35917
javascript,2019,59219
python,2019,36443
c++,2019,20524
c#,2019,27097
sql,2019,47544
vba,2019,4781
bash/shell/powershell,2019,31991
ruby,2019,7331
rust,2019,2794
typescript,2019,18523
webassembly,2019,1015
other(s):,2019,23864
go,2019,7201
php,2019,23030
assembly,2019,5833
kotlin,2019,5620
swift,2019,5744
objective-c,2019,4191
elixir,2019,1260
erlang,2019,777
clojure,2019,1254
f#,2019,973
scala,2019,3309
dart,2019,1683
sqlite,2019,23713
postgresql,2019,25758
mysql,2019,40537
couchbase,2019,1517
mongodb,2019,19100
oracle,2019,12353
cassandra,2019,2597
elasticsearch,2019,10720
redis,2019,13971
dynamodb,2019,4629
microsoft sql server,2019,24590
firebase,2019,9612
mariadb,2019,12401
macos,2019,17806
windows,2019,40630
linux,2019,42753
android,2019,21639
slack,2019,16723
google cloud,2019,9928
aws,2019,21304
docker,2019,25212
heroku,2019,8527
ibm cloud or watson,2019,1514
ios,2019,10446
microsoft azure,2019,9528
wordpress,2019,11595
arduino,2019,8543
raspberry pi,2019,12183
kubernetes,2019,6835
django,2019,8249
flask,2019,7694
express,2019,12522
jquery,2019,30981
react,2019,19877
spring,2019,10298
ruby on rails,2019,5225
angular/angular.js,2019,19532
asp.net,2019,16699
vue.js,2019,9671
laravel,2019,6679
drupal,2019,2195
node.js,2019,29207
.net,2019,21889
cordova,2019,4147
hadoop,2019,2856
pandas,2019,7447
unity 3d,2019,6627
pytorch,2019,1922
ansible,2019,5504
chef,2019,1476
tensorflow,2019,6009
xamarin,2019,3810
.net core,2019,13875
react native,2019,6133
puppet,2019,1557
apache spark,2019,3394
unreal engine,2019,2055
flutter,2019,2010
cryengine,2019,344
c#,2020,18041
html/css,2020,36181
javascript,2020,38822
swift,2020,3397
objective-c,2020,2340
python,2020,25287
ruby,2020,4046
sql,2020,31413
java,2020,23074
php,2020,15007
typescript,2020,14578
bash/shell/powershell,2020,18980
kotlin,2020,4468
vba,2020,3499
perl,2020,1796
scala,2020,2052
c++,2020,13707
go,2020,5038
haskell,2020,1222
rust,2020,2929
dart,2020,2280
julia,2020,519
assembly,2020,3553
elasticsearch,2020,6817
microsoft sql server,2020,16336
oracle,2020,8155
mysql,2020,27559
postgresql,2020,17892
redis,2020,9056
sqlite,2020,15434
mariadb,2020,8312
firebase,2020,7128
mongodb,2020,13086
ibm db2,2020,1421
dynamodb,2020,3497
cassandra,2020,1654
couchbase,2020,937
windows,2020,28595
ios,2020,6562
aws,2020,14389
docker,2020,18851
linux,2020,29600
macos,2020,12898
android,2020,14101
wordpress,2020,7654
raspberry pi,2020,8010
heroku,2020,5974
google cloud,2020,7569
kubernetes,2020,6178
arduino,2020,5712
slack apps and integrations,2020,3922
microsoft azure,2020,7830
ibm cloud or watson,2020,876
asp.net,2020,9258
asp.net core,2020,8082
ruby on rails,2020,2944
flask,2020,6005
jquery,2020,18316
angular,2020,10617
angular.js,2020,6826
django,2020,6014
react,2020,15167
vue.js,2020,7322
gatsby,2020,1703
spring,2020,6941
express,2020,8961
symfony,2020,1851
laravel,2020,4680
drupal,2020,1369
.net,2020,14144
.net core,2020,10755
react native,2020,4626
ansible,2020,2955
pandas,2020,6253
node.js,2020,20741
unity 3d,2020,4413
tensorflow,2020,4652
pytorch,2020,1872
teraform,2020,2518
unreal engine,2020,1316
hadoop,2020,1798
flutter,2020,2897
cordova,2020,2419
xamarin,2020,2357
keras,2020,2504
chef,2020,733
apache spark,2020,2089
puppet,2020,945
c++,2021,20057
html/css,2021,46259
javascript,2021,53587
objective-c,2021,2310
php,2021,18130
swift,2021,4204
python,2021,39792
assembly,2021,4632
rust,2021,5799
typescript,2021,24909
bash/shell,2021,22385
sql,2021,38835
c#,2021,22984
java,2021,29162
node.js,2021,27975
powershell,2021,8871
ruby,2021,5569
perl,2021,2028
matlab,2021,3846
kotlin,2021,6866
julia,2021,1068
haskell,2021,1749
